subject,hemisphere,boundary,anat_centroid,anat_meanmin,wang_centroid,wang_meanmin
OBSadult-0015,lh,V3ab_IPS0,2.499316300386226,0.6324039665691763,4.422792300760453,2.597963930935654
OBSadult-0015,lh,IPS0_IPS1,2.3332071756005885,1.0460662890928627,5.228380398444359,2.963081653732348
OBSadult-0015,lh,IPS1_IPS2,1.6355129831293753,0.6142153273381814,8.553595896055477,4.487880967171608
OBSadult-0015,lh,IPS2_IPS3,3.224532525145432,0.9287717583129383,7.065673335229773,2.44559206746597
OBSadult-0015,rh,V3ab_IPS0,5.423160023037686,2.43551300922893,4.2744989928196935,3.281562467416009
OBSadult-0015,rh,IPS0_IPS1,1.0806303807258608,0.5202184367867383,3.520787031307842,2.898313941672857
OBSadult-0015,rh,IPS1_IPS2,6.790310034570401,2.940492098056395,7.402363430011439,2.2820076278394703
OBSadult-0015,rh,IPS2_IPS3,9.970461399123806,3.062376520000232,8.06403868583037,2.336855196892772
OBSadult-0017,lh,V3ab_IPS0,3.7413644862199136,1.8144403686504358,5.235251114828052,2.311777562704525
OBSadult-0017,lh,IPS0_IPS1,1.9335391151527435,1.2358401307122215,6.82227493264866,5.114976372461282
OBSadult-0017,lh,IPS1_IPS2,3.6698588761893927,2.1717452578226077,11.633439016334142,7.419583295937187
OBSadult-0017,lh,IPS2_IPS3,5.552545421995388,2.3343711055073495,3.298988496242796,1.9333602513990527
OBSadult-0017,rh,V3ab_IPS0,4.2033698250671465,1.1074796259231068,7.602535292998048,3.732255230739975
OBSadult-0017,rh,IPS0_IPS1,2.3101470604211873,0.8211708247370995,6.777829937683131,3.763177602932343
OBSadult-0017,rh,IPS1_IPS2,3.9518109236983996,2.9109278078588647,4.095499248590641,1.4033085557732923
OBSadult-0017,rh,IPS2_IPS3,4.0835773676231675,2.5384735175108077,6.858756717155079,5.022156689751042
OBSadult-0020,lh,V3ab_IPS0,4.804348221940559,2.5479503888015405,4.375070969028317,3.054837119483257
OBSadult-0020,lh,IPS0_IPS1,2.5865760063780203,0.9347376023754079,1.9911852197394417,1.0431618475579116
OBSadult-0020,lh,IPS1_IPS2,1.9695551101414637,0.6679898191012604,5.082789102439276,2.1058399877842087
OBSadult-0020,lh,IPS2_IPS3,2.383539036512662,3.071028810293275,3.4171740954574603,2.8636643006728395
OBSadult-0020,rh,V3ab_IPS0,1.848821366061454,1.9183319572221098,2.687771949150661,1.2919145285164557
OBSadult-0020,rh,IPS0_IPS1,1.6042218765277538,0.644498173227829,2.9414057712796335,2.4610287188285263
OBSadult-0020,rh,IPS1_IPS2,2.117824608905708,1.2246576956083417,6.465555889788907,2.7888749654947533
OBSadult-0020,rh,IPS2_IPS3,3.2597131734854425,3.95348183804962,6.325437659423927,2.0807464633546524
OBSadult-0003,lh,V3ab_IPS0,3.4459493040475033,2.670659020903371,2.059154127826227,3.3974276431894945
OBSadult-0003,lh,IPS0_IPS1,7.186867317369677,4.288944873069975,6.400702970994749,4.341683956510508
OBSadult-0003,lh,IPS1_IPS2,1.5985288282473635,0.8906139934281813,4.861346996911664,1.5005906919907193
OBSadult-0003,lh,IPS2_IPS3,1.7236762338745246,0.8368150405103446,4.844139110472581,1.1674315688108616
OBSadult-0003,rh,V3ab_IPS0,7.890776290733565,7.0717429625395045,4.5822662469103825,1.5076540702384955
OBSadult-0003,rh,IPS0_IPS1,16.10299263098392,11.72914487178674,8.380596071929606,4.894210113101829
OBSadult-0003,rh,IPS1_IPS2,8.523151612784222,7.526631646348733,7.1740262685316685,6.766224292185048
OBSadult-0003,rh,IPS2_IPS3,1.4403033288885592,0.4919413618024437,9.765821189413598,7.607575708697553
OBSadult-0008,lh,V3ab_IPS0,3.641162596867109,4.168878528670469,3.7788029335041378,1.3159482317865498
OBSadult-0008,lh,IPS0_IPS1,6.698814473655141,4.176187591536824,3.495097917496665,2.7834091334817366
OBSadult-0008,lh,IPS1_IPS2,1.2914664229414063,0.6405854612276458,3.2952032310159702,1.4578061707017111
OBSadult-0008,lh,IPS2_IPS3,3.030666697222728,1.6260516490263757,1.5601658305912278,0.9953853998248093
OBSadult-0008,rh,V3ab_IPS0,3.567902110203681,1.1423898852214598,3.833527805661986,1.8709998612157883
OBSadult-0008,rh,IPS0_IPS1,6.3940785828025,3.3385415169698947,10.074382952636391,3.568229732611673
OBSadult-0008,rh,IPS1_IPS2,7.738705662331672,5.0338994388999145,8.713933755695619,4.814988779385185
OBSadult-0008,rh,IPS2_IPS3,6.491763597286959,5.667203143572134,7.3823549161067135,4.789239463565629
OBSadult-0031,lh,V3ab_IPS0,5.737861510485683,4.641750660878147,5.084344645002273,2.3732102359354275
OBSadult-0031,lh,IPS0_IPS1,11.570665550237411,9.186858071340286,11.078315881533536,8.701139828758713
OBSadult-0031,lh,IPS1_IPS2,1.1478425598916044,0.3823131859049087,4.847360139676556,1.4484959885004454
OBSadult-0031,lh,IPS2_IPS3,2.3000486506886935,0.7834697188437423,4.591142909367092,1.4164257920061274
OBSadult-0031,rh,V3ab_IPS0,7.057139362486724,2.6873574400576006,8.843738765156761,3.9860375997333497
OBSadult-0031,rh,IPS0_IPS1,4.019090256729657,2.1368514843978086,7.753767984954294,3.4700359803127627
OBSadult-0031,rh,IPS1_IPS2,4.844257541523174,3.771268828839306,3.1362918927387993,1.322535852431383
OBSadult-0031,rh,IPS2_IPS3,2.0719693652857707,2.9894681673712102,2.790393748891151,1.1552610868862854
OBSadult-0018,lh,V3ab_IPS0,1.9709166157932252,1.9789448225231339,3.170261386114568,1.64928383465417
OBSadult-0018,lh,IPS0_IPS1,7.09011696229843,4.850400074638099,12.505370988204882,9.075254529984313
OBSadult-0018,lh,IPS1_IPS2,5.520826349075771,3.4984733957689444,13.804470905749964,9.631752529147718
OBSadult-0018,lh,IPS2_IPS3,6.15897367685813,4.315851231657154,21.75403767808035,13.620671530668746
OBSadult-0018,rh,V3ab_IPS0,6.384257750835547,2.057985297253717,6.384135094451854,2.079299225665609
OBSadult-0018,rh,IPS0_IPS1,1.3528741542417617,1.3166418093329648,12.169959209039442,8.541021579374215
OBSadult-0018,rh,IPS1_IPS2,8.130615275794591,5.8272168417772185,15.652573678500515,10.884774570834022
OBSadult-0018,rh,IPS2_IPS3,9.286046987218064,7.147983304886015,12.995567656338523,10.43123187679899
OBSadult-00014,lh,V3ab_IPS0,1.4710774687551091,0.6093489862753959,9.86720431802191,6.938722301607982
OBSadult-00014,lh,IPS0_IPS1,2.9194623130464037,1.3951526490593626,17.69052738541723,13.791912045681261
OBSadult-00014,lh,IPS1_IPS2,1.8054997559357397,1.1621681923013152,10.391287830301469,9.33090147464811
OBSadult-00014,lh,IPS2_IPS3,8.801122126091993,5.267218441840203,12.56673019202944,6.4577535990532215
OBSadult-00014,rh,V3ab_IPS0,3.807996905318687,2.5338132006505,7.00004431385357,4.002215797003522
OBSadult-00014,rh,IPS0_IPS1,6.106200440871489,3.3899046718639063,6.091640016367808,3.4847083275651225
OBSadult-00014,rh,IPS1_IPS2,4.535963250869254,3.253177787839805,4.111940048969911,1.9678297249620509
OBSadult-00014,rh,IPS2_IPS3,7.1260118087521045,5.252426908062157,4.628425418325918,1.5708763583998802
OBSadult-0012,lh,V3ab_IPS0,5.113950851794527,3.2649925836677456,7.3265697033199215,5.5136976204439225
OBSadult-0012,lh,IPS0_IPS1,3.890498182513265,2.3925910159039288,5.034739357151754,3.8637140452373373
OBSadult-0012,lh,IPS1_IPS2,4.593300961229612,1.2844328349028018,5.2560398992180115,1.823379065356094
OBSadult-0012,lh,IPS2_IPS3,5.4153988734907905,2.9991213788343742,5.2530343710669385,1.7789764340354144
OBSadult-0012,rh,V3ab_IPS0,2.3354355319021125,1.5638656402410969,3.161029596049467,2.6122598614636026
OBSadult-0012,rh,IPS0_IPS1,9.855304147710784,5.988067380259361,5.469877491312879,3.897405803808475
OBSadult-0012,rh,IPS1_IPS2,12.655767411827409,9.50420565341464,7.006013805152545,4.561636707914424
OBSadult-0012,rh,IPS2_IPS3,4.971541582756309,3.3882180448681014,3.3185012770723428,1.569750116608456
OBSadult-0016,lh,V3ab_IPS0,3.9629363038660865,1.4403656001352232,1.7982252246311956,1.2095619205453907
OBSadult-0016,lh,IPS0_IPS1,7.289916664368144,4.147512644178667,4.560646153963214,3.070892447027071
OBSadult-0016,lh,IPS1_IPS2,8.319523658780925,7.445831624940794,11.989324781524184,7.465593760349265
OBSadult-0016,lh,IPS2_IPS3,7.191398416573822,5.134545903767357,8.859447939281882,5.249447835096534
OBSadult-0016,rh,V3ab_IPS0,8.142738721538398,6.151833300146453,3.1693411410943537,2.8692165978622133
OBSadult-0016,rh,IPS0_IPS1,5.573865498335459,3.7875590888505544,3.993109390775161,2.939672748033087
OBSadult-0016,rh,IPS1_IPS2,7.640094870906704,5.065686719469559,6.2752794951144155,3.395573536181643
OBSadult-0016,rh,IPS2_IPS3,12.81812940104292,6.060929587924532,6.234133389020549,2.2790663103072664
OBSadult-0021,lh,V3ab_IPS0,2.766979905480418,0.7865675929074261,3.7147302153480446,2.533964717129864
OBSadult-0021,lh,IPS0_IPS1,4.842294276325951,2.7428829765991702,4.702640060821501,2.43469089646931
OBSadult-0021,lh,IPS1_IPS2,3.7269529577094307,3.2690494789718976,12.192230914147038,3.3195708033773483
OBSadult-0021,lh,IPS2_IPS3,2.903320012443181,1.1509227938535638,8.616210038951378,3.4362819302113183
OBSadult-0021,rh,V3ab_IPS0,4.548310050168341,3.5161855141739413,3.4576723037973327,2.4263261689064217
OBSadult-0021,rh,IPS0_IPS1,3.3879980411911355,1.5448718794633494,5.970345738841438,3.6636422267087845
OBSadult-0021,rh,IPS1_IPS2,2.294068427973751,0.46336134284098773,6.593287350869314,3.617137324915779
OBSadult-0021,rh,IPS2_IPS3,3.5013403025342695,2.1257113870178648,2.208866089996845,0.8122567000560582
OBSadult-0006,lh,V3ab_IPS0,4.6351343261902,3.290810078073771,1.5624748511697415,3.0862369628743562
OBSadult-0006,lh,IPS0_IPS1,6.606352640517885,3.7855898001658495,6.8157417014917305,3.9870192012701864
OBSadult-0006,lh,IPS1_IPS2,1.5097615660269408,0.5874759195723892,7.435040395927733,2.7043203455436116
OBSadult-0006,lh,IPS2_IPS3,2.1060082611752318,0.9678854674488778,4.267514669970532,1.940064738872
OBSadult-0006,rh,V3ab_IPS0,5.639918591831097,3.7840048617518676,3.4114705756369754,2.4950759755968113
OBSadult-0006,rh,IPS0_IPS1,6.8599057243444745,3.881866595886632,4.236478859088354,1.9700046438954244
OBSadult-0006,rh,IPS1_IPS2,2.426176736762094,1.4549048447874497,1.61217043272303,1.4558723767679997
OBSadult-0006,rh,IPS2_IPS3,7.3356495508494834,6.394529713567358,4.564910383122149,2.2778602174058613
OBSadult-0022,lh,V3ab_IPS0,1.4853848863382484,0.6371361262687585,2.6163277422574405,1.3450049224080236
OBSadult-0022,lh,IPS0_IPS1,3.503198828250037,1.6856889963541497,3.772395194617681,2.847505269749899
OBSadult-0022,lh,IPS1_IPS2,0.4900997154292017,0.28188779427021865,5.802312095119065,2.7781690031357122
OBSadult-0022,lh,IPS2_IPS3,3.662723030875619,2.8756934604160382,4.896760847228378,1.9805481033448258
OBSadult-0022,rh,V3ab_IPS0,4.416808377140914,2.7138987871449567,6.198231642672962,3.9484330435036536
OBSadult-0022,rh,IPS0_IPS1,0.9896761866628673,0.34605341238462595,6.604643807585603,3.924905117047723
OBSadult-0022,rh,IPS1_IPS2,4.3751461547084665,1.41708350244338,4.310210749206938,2.649344349131784
OBSadult-0022,rh,IPS2_IPS3,7.464685578087589,1.6399718920520188,5.792612799057326,2.56955031231548
OBSadult-0033,lh,V3ab_IPS0,5.677407402148039,2.1910966028510757,15.675058883412833,7.835986104824499
OBSadult-0033,lh,IPS0_IPS1,7.86370039408307,4.538237088110184,6.85604296674488,1.9095377831445708
OBSadult-0033,lh,IPS1_IPS2,5.780654241816454,1.2193751249192808,4.572648505079002,2.4524185359477704
OBSadult-0033,lh,IPS2_IPS3,8.83969800169194,4.248965975144706,3.295432445035117,2.875917826731718
OBSadult-0033,rh,V3ab_IPS0,3.5331487157940065,2.0903638863535505,7.265984551428632,3.831871646603467
OBSadult-0033,rh,IPS0_IPS1,7.252726207694326,3.241098568312262,7.786449593297761,3.160774687061018
OBSadult-0033,rh,IPS1_IPS2,11.67690010133167,4.037024226077812,10.902227663181831,5.462578815915675
OBSadult-0033,rh,IPS2_IPS3,12.563655617125312,5.602944382692197,5.009576518150111,2.978231495044004
OBSadult-0027,lh,V3ab_IPS0,1.167288179955698,1.380778116201512,3.231046098578759,2.4036378849577313
OBSadult-0027,lh,IPS0_IPS1,2.6401963632300753,1.5945928269023635,1.087078789701149,1.1325282983837393
OBSadult-0027,lh,IPS1_IPS2,1.4690326685274702,1.0313337475004867,6.594700798558392,3.9263943230790703
OBSadult-0027,lh,IPS2_IPS3,6.5312258743710965,4.0468272220787105,8.062609798921352,3.4001174233836045
OBSadult-0027,rh,V3ab_IPS0,2.954650027563097,0.5886032054537511,1.5603883374041054,0.7718310130474375
OBSadult-0027,rh,IPS0_IPS1,1.7127138024529336,2.231600296994996,2.5026442461907585,2.7170275725630386
OBSadult-0027,rh,IPS1_IPS2,1.0808542012664941,0.41963241248261907,3.7074165958950682,1.489081191922246
OBSadult-0027,rh,IPS2_IPS3,0.8732804563981919,1.13500261723045,3.782205057484166,1.2963112468154545
OBSadult-0010,lh,V3ab_IPS0,1.210229800155109,0.5306274191229274,5.353391400996361,3.018263136817483
OBSadult-0010,lh,IPS0_IPS1,0.33678104762171673,0.13074758352428228,2.009310118661171,1.027478118319347
OBSadult-0010,lh,IPS1_IPS2,2.128125022741598,1.0564430180436952,4.3172028832153435,1.5700210781318227
OBSadult-0010,lh,IPS2_IPS3,3.142287039355219,1.896908555837201,2.533896155533775,1.006742999857017
OBSadult-0010,rh,V3ab_IPS0,5.320184269167446,3.5494451816620893,7.845891761025796,4.652763750668161
OBSadult-0010,rh,IPS0_IPS1,1.0549708054107296,1.0430770833604992,2.156835123883262,1.463080211437096
OBSadult-0010,rh,IPS1_IPS2,1.2654323236332754,1.126698982642998,4.261227097871327,2.4195070799999616
OBSadult-0010,rh,IPS2_IPS3,4.595429929739368,2.5381998959307612,5.18893973878499,3.2052116424440174
OBSadult-0001,lh,V3ab_IPS0,1.220909903021699,0.40296865914788027,4.161734962860131,1.6000134845713758
OBSadult-0001,lh,IPS0_IPS1,3.2917164137257897,1.333012758188586,3.0611704412957637,1.5446112756691692
OBSadult-0001,lh,IPS1_IPS2,1.1817794155197288,0.27995556338400157,6.585138981914158,3.153651262973987
OBSadult-0001,lh,IPS2_IPS3,2.3924307640308067,0.9787178232619691,5.630403254203965,3.344995099205719
OBSadult-0001,rh,V3ab_IPS0,5.881997001856044,4.610453885841022,6.403975000013684,5.378036464802479
OBSadult-0001,rh,IPS0_IPS1,4.052629035193159,2.610746754128291,8.74004256321217,5.69820380116646
OBSadult-0001,rh,IPS1_IPS2,7.554451352256012,2.1833654270608394,9.258404549516868,8.032937155109455
OBSadult-0001,rh,IPS2_IPS3,3.047269415637193,0.9167760065343102,10.964122604589491,7.032058923065808
OBSadult-0002,lh,V3ab_IPS0,4.9252829157623035,3.144142248767516,6.392760780411288,5.467429288787413
OBSadult-0002,lh,IPS0_IPS1,10.265200845245936,7.927145152767971,14.206592494254384,10.645950246700806
OBSadult-0002,lh,IPS1_IPS2,12.004920690939688,9.391776563400281,19.617390740934812,14.245018745316933
OBSadult-0002,lh,IPS2_IPS3,3.6021877394022717,1.3714367466401964,6.273735667497408,2.464733631746948
OBSadult-0002,rh,V3ab_IPS0,1.295524746366985,0.5611445329766857,14.042930251741886,10.614284300692853
OBSadult-0002,rh,IPS0_IPS1,4.63128992519651,2.4391221534563234,19.195813211428764,15.150149487941391
OBSadult-0002,rh,IPS1_IPS2,1.7246312486172823,2.477651553531228,14.711660864152309,11.167102138104593
OBSadult-0002,rh,IPS2_IPS3,1.0653718959883642,0.6010478914312739,3.241943861184336,1.3813463593993998
OBSadult-0004,lh,V3ab_IPS0,7.86226917915014,3.2300296550041496,5.971937847067431,4.1232824138236985
OBSadult-0004,lh,IPS0_IPS1,6.825340020595497,3.4334029896221563,2.324109853216835,1.5930175449535042
OBSadult-0004,lh,IPS1_IPS2,8.179603012880627,6.206945962602729,9.499065107350214,2.755088521655281
OBSadult-0004,lh,IPS2_IPS3,8.792723326687277,8.3849086353301,3.9395455357848195,1.431400756563011
OBSadult-0004,rh,V3ab_IPS0,5.870533398119834,4.320823319818247,4.5128793687801725,3.133775708576326
OBSadult-0004,rh,IPS0_IPS1,5.414447451721917,1.8345124633312615,3.434096112306145,2.0809129373206456
OBSadult-0004,rh,IPS1_IPS2,6.298248324360318,4.804558675107204,2.810920855336722,2.134810312582446
OBSadult-0004,rh,IPS2_IPS3,8.158584313351406,3.1059563872854454,5.500496276756261,3.7389325510614064
OBSadult-0005,lh,V3ab_IPS0,2.0522164949260966,2.11258420700299,4.43513550123349,2.2499383566866755
OBSadult-0005,lh,IPS0_IPS1,3.061845691877189,1.9543975652624046,1.366305154884372,0.7176346921293721
OBSadult-0005,lh,IPS1_IPS2,3.004290472751428,0.6346509320225252,2.9482891882521733,0.867527908606002
OBSadult-0005,lh,IPS2_IPS3,5.150894293834679,3.9876843184707687,5.798922611903603,2.5672408347728064
OBSadult-0005,rh,V3ab_IPS0,2.1533625270205947,0.5824894365123596,3.389844436728326,1.724872634250965
OBSadult-0005,rh,IPS0_IPS1,1.3011558930728364,0.7241482657894329,4.0795494317268854,1.6050749592760862
OBSadult-0005,rh,IPS1_IPS2,2.0848867196309055,0.7000646016283993,2.7488557638686197,2.3353953512590144
OBSadult-0005,rh,IPS2_IPS3,7.364145129047952,5.166569545725542,3.5721926948850338,2.1501757121040046
OBSadult-0007,lh,V3ab_IPS0,2.355366652808759,1.9189679271251232,8.95066772938995,6.128207247713622
OBSadult-0007,lh,IPS0_IPS1,5.330772288354577,1.782255086581607,10.607154437262134,4.990741545496356
OBSadult-0007,lh,IPS1_IPS2,3.186201704624908,1.8764359434560944,2.940122644223244,2.6685060682821335
OBSadult-0007,lh,IPS2_IPS3,3.3046138518322237,2.077043259683118,6.1093571025239095,2.5323449878382878
OBSadult-0007,rh,V3ab_IPS0,3.326140690702687,1.8346619498594288,1.2641381234203457,1.4001172692037491
OBSadult-0007,rh,IPS0_IPS1,11.177693029446239,7.580035102345291,2.7212539292508384,1.3329387505878603
OBSadult-0007,rh,IPS1_IPS2,9.57967140362232,6.692329337653087,3.4605265751540237,2.272145665934044
OBSadult-0007,rh,IPS2_IPS3,11.366582541565602,7.2030011598988075,9.636291569090899,2.196893263728239
OBSadult-0009,lh,V3ab_IPS0,1.907051986960232,1.7006089250230056,5.013530440464106,3.3821572360252046
