subject,hemisphere,boundary,anat_centroid,anat_meanmin,wang_centroid,wang_meanmin
REPadult-0001,lh,V3ab_IPS0,4.142504015,2.504629545,9.155217221,6.313726197
REPadult-0001,lh,IPS0_IPS1,6.002828291,2.682647803,4.960729888,2.523703957
REPadult-0001,lh,IPS1_IPS2,5.618312886,3.947183657,4.204960162,3.139211632
REPadult-0001,lh,IPS2_IPS3,4.731159153,2.887328896,3.84472155,2.375874502
REPadult-0001,rh,V3ab_IPS0,5.602904152,3.345220411,5.488910645,2.65169077
REPadult-0001,rh,IPS0_IPS1,3.800503783,1.646550347,3.262830063,1.227860817
REPadult-0001,rh,IPS1_IPS2,1.64021402,1.302576611,2.354927518,1.224593786
REPadult-0001,rh,IPS2_IPS3,1.625766849,1.472658528,1.513842015,0.672009542
REPadult-0002,lh,V3ab_IPS0,8.831084621,7.345943806,4.326340594,3.24625073
REPadult-0002,lh,IPS0_IPS1,8.260555295,5.860456175,5.085178741,3.214634801
REPadult-0002,lh,IPS1_IPS2,9.169368008,6.26644318,6.660785962,3.724210425
REPadult-0002,lh,IPS2_IPS3,6.972085475,4.744019352,7.425263538,4.529574538
REPadult-0002,rh,V3ab_IPS0,3.331080251,1.80367152,3.67498316,1.932502831
REPadult-0002,rh,IPS0_IPS1,0.774953895,2.128020651,2.949794896,1.573835301
REPadult-0002,rh,IPS1_IPS2,4.48804775,2.541365066,5.521654364,2.600357992
REPadult-0002,rh,IPS2_IPS3,12.58139661,7.191484111,14.96638708,5.537392988
REPadult-003,lh,IPS0_IPS1,12.03150821,8.431549471,7.135466392,4.643797031
REPadult-003,lh,IPS1_IPS2,7.157437525,6.263856812,8.644750829,4.903752088
REPadult-003,lh,IPS2_IPS3,12.35453939,9.728889692,13.0625507,9.827733708
REPadult-003,rh,V3ab_IPS0,7.296400513,4.805772178,5.497635816,3.49736543
REPadult-003,rh,IPS0_IPS1,6.514281371,4.066419584,4.742608888,2.021816418
REPadult-003,rh,IPS1_IPS2,2.861535773,2.456498069,5.41186774,1.998247371
REPadult-003,rh,IPS2_IPS3,4.034137772,2.084846341,5.564175426,4.182806552
REPadult-004,lh,V3ab_IPS0,7.32215138,4.998207737,8.338556176,6.959306164
REPadult-004,lh,IPS0_IPS1,14.33480653,9.33613103,12.02809901,8.597786421
REPadult-004,lh,IPS1_IPS2,9.101571248,6.02676141,9.834063194,5.543876814
REPadult-004,lh,IPS2_IPS3,8.194530244,4.035867092,7.198139521,4.66413036
REPadult-004,rh,V3ab_IPS0,12.61921982,8.034971036,10.36934241,6.880264984
REPadult-004,rh,IPS0_IPS1,9.664212088,6.226800351,10.42419085,8.210633007
REPadult-004,rh,IPS1_IPS2,6.532260133,2.918378578,7.233393395,3.635372073
REPadult-004,rh,IPS2_IPS3,5.639387837,2.2475481,5.448750331,3.531321562
REPadult-005,lh,V3ab_IPS0,4.527358177,2.661549722,7.818126582,4.529185542
REPadult-005,lh,IPS0_IPS1,4.248501825,1.560168635,4.332657465,3.039084431
REPadult-005,lh,IPS1_IPS2,4.226539517,2.503423296,9.413671941,5.083092576
REPadult-005,lh,IPS2_IPS3,7.048300656,3.835020038,4.182244607,3.673712717
REPadult-005,rh,V3ab_IPS0,3.914493505,2.347778274,2.342726889,1.348579152
REPadult-005,rh,IPS0_IPS1,4.718335146,2.552225787,4.895068636,2.445142152
REPadult-005,rh,IPS1_IPS2,2.734512992,2.96912776,6.274671129,3.162092737
REPadult-005,rh,IPS2_IPS3,6.335327398,3.228251172,7.468334369,3.994580421
REPadult-0006,lh,V3ab_IPS0,3.848760253,1.827532368,6.764668235,4.075872645
